                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.191,                 7.3834,                 2.4799,                      0,                      0,                      0,                      0,                 3.6249,                 7.8972,                  2.552,                      0,                      0,                      0
                      2,                 3.3034,                 7.4891,                 2.6069,                      0,                      0,                      0,                      0,                 3.6192,                 7.8937,                 2.5486,             1.0743e-05,             1.0743e-05,             1.0743e-05
                      3,                 3.4409,                  7.437,                 2.5576,                      0,                      0,                      0,                      0,                 3.5913,                  7.874,                 2.5379,             2.0753e-05,             2.0753e-05,             2.0753e-05
                      4,                 3.4642,                 7.3406,                 2.7426,                      0,                      0,                      0,                      0,                 3.5587,                 7.8153,                 2.5259,              3.003e-05,              3.003e-05,              3.003e-05
                      5,                 3.4127,                 7.4955,                 2.2814,                      0,                      0,                      0,                      0,                 3.5252,                 7.7369,                 2.5063,             3.8574e-05,             3.8574e-05,             3.8574e-05
                      6,                 3.3545,                 7.1664,                 2.4672,                      0,                      0,                      0,                      0,                 3.4709,                 7.6333,                 2.4721,             4.6384e-05,             4.6384e-05,             4.6384e-05
                      7,                  3.291,                 7.2687,                 2.4548,                      0,                      0,                      0,                      0,                 3.4146,                 7.5227,                 2.4434,             5.3461e-05,             5.3461e-05,             5.3461e-05
                      8,                 3.4223,                 7.2417,                 2.3183,                      0,                      0,                      0,                      0,                 3.3493,                  7.393,                  2.426,             5.9805e-05,             5.9805e-05,             5.9805e-05
                      9,                   3.01,                 6.8707,                 2.5606,                      0,                      0,                      0,                      0,                 3.3119,                 7.2729,                 2.4133,             6.5416e-05,             6.5416e-05,             6.5416e-05
                     10,                 3.2854,                 7.0284,                 2.4684,                      0,                      0,                      0,                      0,                 3.2842,                 7.1238,                 2.3992,             7.0293e-05,             7.0293e-05,             7.0293e-05
                     11,                 3.1477,                 6.8392,                  2.246,                      0,                      0,                      0,                      0,                 3.2547,                 6.9882,                  2.387,             7.4437e-05,             7.4437e-05,             7.4437e-05
                     12,                 3.1314,                 6.6756,                 2.2441,                      0,                      0,                      0,                      0,                 3.2074,                 6.8384,                 2.3749,             7.7848e-05,             7.7848e-05,             7.7848e-05
                     13,                 3.1942,                 6.3939,                 2.5689,                      0,                      0,                      0,                      0,                 3.1692,                 6.6669,                  2.367,             8.0525e-05,             8.0525e-05,             8.0525e-05
                     14,                 3.0112,                  6.468,                 2.1355,                      0,                      0,                      0,                      0,                 3.1245,                 6.4848,                 2.3519,              8.247e-05,              8.247e-05,              8.247e-05
                     15,                 2.8524,                 6.2927,                 1.9846,                      0,                      0,                      0,                      0,                 3.0944,                 6.3102,                 2.3359,             8.3681e-05,             8.3681e-05,             8.3681e-05
                     16,                 2.9738,                 6.2349,                 2.0278,                      0,                      0,                      0,                      0,                 3.0996,                  6.137,                 2.3262,             8.4158e-05,             8.4158e-05,             8.4158e-05
                     17,                 3.1579,                 5.9958,                 2.2294,                      0,                      0,                      0,                      0,                 3.0875,                 6.0092,                 2.2988,             8.3903e-05,             8.3903e-05,             8.3903e-05
                     18,                 2.7531,                 5.6477,                 2.0777,                      0,                      0,                      0,                      0,                 3.0875,                 6.0092,                 2.2988,             8.2914e-05,             8.2914e-05,             8.2914e-05
                     19,                 2.9677,                  5.875,                 2.1308,                      0,                      0,                      0,                      0,                 3.0813,                 5.8765,                 2.2582,             8.1192e-05,             8.1192e-05,             8.1192e-05
                     20,                 2.9981,                 5.7727,                 2.0157,                      0,                      0,                      0,                      0,                 3.0813,                 5.8765,                 2.2582,             7.8737e-05,             7.8737e-05,             7.8737e-05
                     21,                 2.9882,                 5.6673,                 2.2251,                      0,                      0,                      0,                      0,                  3.042,                 5.7473,                 2.2427,             7.5548e-05,             7.5548e-05,             7.5548e-05
                     22,                 2.8044,                 5.6276,                 2.2559,                      0,                      0,                      0,                      0,                  3.042,                 5.7473,                 2.2427,             7.1626e-05,             7.1626e-05,             7.1626e-05
                     23,                 2.9387,                 5.6855,                 1.9837,                      0,                      0,                      0,                      0,                 3.0026,                 5.6499,                 2.2087,             6.6971e-05,             6.6971e-05,             6.6971e-05
                     24,                 2.8858,                 5.5019,                 2.2585,                      0,                      0,                      0,                      0,                 3.0026,                 5.6499,                 2.2087,             6.1583e-05,             6.1583e-05,             6.1583e-05
                     25,                 2.6953,                 5.4477,                 2.0601,                      0,                      0,                      0,                      0,                 2.9756,                 5.5635,                 2.1817,             5.5461e-05,             5.5461e-05,             5.5461e-05
                     26,                 2.8365,                 5.2612,                 2.0653,                      0,                      0,                      0,                      0,                 2.9756,                 5.5635,                 2.1817,             4.8606e-05,             4.8606e-05,             4.8606e-05
                     27,                  2.934,                 5.3256,                 2.0176,                0.01053,                   0.02,                0.00585,                0.00058,                 2.9446,                  5.497,                 2.1625,             4.1018e-05,             4.1018e-05,             4.1018e-05
                     28,                  2.778,                 5.3243,                 2.1068,                0.01053,                   0.02,                0.00585,                0.00058,                 2.9446,                  5.497,                 2.1625,             3.2697e-05,             3.2697e-05,             3.2697e-05
                     29,                 2.8504,                 5.2549,                 2.1511,                0.02303,                  0.045,                0.01288,                0.00269,                 2.9417,                 5.4612,                 2.1646,             2.3642e-05,             2.3642e-05,             2.3642e-05
                     30,                 2.9098,                 5.3898,                 1.9611,                0.02303,                  0.045,                0.01288,                0.00269,                 2.9417,                 5.4612,                 2.1646,             1.3854e-05,             1.3854e-05,             1.3854e-05
